"Message",Low,"Compilação iniciada."
"Message",Low,"Projecto ""Unnamed_1"" (destinos predefinidos):"
"Message",Low,"A criar com a versão das ferramentas ""4.0""."
"Message",Low,"Destino ""PrintILCStartMessage"" no ficheiro ""C:\Program Files (x86)\MSBuild\Microsoft\.NetNative\x86\ilc\IlcInternals.targets"" do projecto ""C:\Users\fonse\Documents\GitHub\UniversalWindowsProjects\UWP_15_exe\LaboriousLayout\LaboriousLayout\Unnamed_1"" (o destino ""Build"" depende dele):"
"Message",Low,"A utilizar a tarefa ""IlcMessageTask"" da assemblagem ""C:\Program Files (x86)\MSBuild\Microsoft\.NetNative\x86\ilc\ilc.exe""."
"Message",Low,"Tarefa ""IlcMessageTask"""
"Message",High,"Starting .NET Native compilation"
"Message",Low,"Conclusão de execução da tarefa ""IlcMessageTask""."
"Message",Low,"Conclusão da criação do destino ""PrintILCStartMessage"" no projecto ""Unnamed_1""."
"Message",Low,"Destino ""RunGatekeeper"" no ficheiro ""C:\Program Files (x86)\MSBuild\Microsoft\.NetNative\x86\ilc\IlcInternals.targets"" do projecto ""C:\Users\fonse\Documents\GitHub\UniversalWindowsProjects\UWP_15_exe\LaboriousLayout\LaboriousLayout\Unnamed_1"" (o destino ""Build"" depende dele):"
"Message",Low,"A utilizar a tarefa ""WriteLinesToFile"" da assemblagem ""Microsoft.Build.Tasks.v4.0, Version=4.0.0.0, Culture=neutral, PublicKeyToken=b03f5f7f11d50a3a""."
"Message",Low,"Tarefa ""WriteLinesToFile"""
"Message",Low,"Conclusão de execução da tarefa ""WriteLinesToFile""."
"Message",Low,"A utilizar a tarefa ""StartProcessTask"" da assemblagem ""Microsoft.Build.ILTasks""."
"Message",Low,"Tarefa ""StartProcessTask"""
"Message",Normal,"Launching 'C:\Program Files (x86)\MSBuild\Microsoft\.NetNative\x86\ilc\tools\Gatekeeper.exe @""C:\Users\fonse\Documents\GitHub\UniversalWindowsProjects\UWP_15_exe\LaboriousLayout\LaboriousLayout\obj\x86\Release\ilc\intermediate\gkargs.rsp""'"
"Message",Low,"Microsoft (R) .NET Native Gatekeeper Version 1.0.24208.01 "
"Message",Low,"Copyright (C) Microsoft Corporation.  All rights reserved. "
"Message",Low," "
"Message",Low,"Checking assembly 'C:\Users\fonse\Documents\GitHub\UniversalWindowsProjects\UWP_15_exe\LaboriousLayout\LaboriousLayout\obj\x86\Release\ilc\in\LaboriousLayout.exe'. "
"Message",Normal,"'C:\Program Files (x86)\MSBuild\Microsoft\.NetNative\x86\ilc\tools\Gatekeeper.exe @""C:\Users\fonse\Documents\GitHub\UniversalWindowsProjects\UWP_15_exe\LaboriousLayout\LaboriousLayout\obj\x86\Release\ilc\intermediate\gkargs.rsp""' completed."
"Message",Normal,"Process execution statistics (all times in milliseconds)"
"Message",Normal,"-----------------------------------------------------------------------------"
"Message",Normal,"launch  |  start   |   stop   |   end    | duration | lifetime | [slot] name"
"Message",Normal,"-----------------------------------------------------------------------------"
"Message",Normal,"       0 |       16 |      469 |      469 |      453 |      469 | [0] Gatekeeper"
"Message",Normal,"Number of commands:      1"
"Message",Normal,"Total system time:       469 ms"
"Message",Normal,"System time per command: 469 ms"
"Message",Normal,"Total duration:          453 ms"
"Message",Normal,"Total lifetime:          469 ms"
"Message",Normal,"Requested DOP:           8"
"Message",Normal,"Duration DOP:            1,0"
"Message",Normal,"Lifetime DOP:            1,0"
"Message",Low,"Conclusão de execução da tarefa ""StartProcessTask""."
"Message",Low,"Conclusão da criação do destino ""RunGatekeeper"" no projecto ""Unnamed_1""."
"Message",Low,"Destino ""LogAppContextSwitches"" no ficheiro ""C:\Program Files (x86)\MSBuild\Microsoft\.NetNative\x86\ilc\IlcInternals.targets"" do projecto ""C:\Users\fonse\Documents\GitHub\UniversalWindowsProjects\UWP_15_exe\LaboriousLayout\LaboriousLayout\Unnamed_1"" (o destino ""SetMainTargetPaths"" depende dele):"
"Message",Low,"A utilizar a tarefa ""Message"" da assemblagem ""Microsoft.Build.Tasks.v4.0, Version=4.0.0.0, Culture=neutral, PublicKeyToken=b03f5f7f11d50a3a""."
"Message",Low,"Tarefa ""Message"""
"Message",Normal,"AppContextSwitch: ''"
"Message",Low,"Conclusão de execução da tarefa ""Message""."
"Message",Low,"Conclusão da criação do destino ""LogAppContextSwitches"" no projecto ""Unnamed_1""."
"Message",Low,"Destino ""SetMainTargetPaths"" no ficheiro ""C:\Program Files (x86)\MSBuild\Microsoft\.NetNative\x86\ilc\IlcInternals.targets"" do projecto ""C:\Users\fonse\Documents\GitHub\UniversalWindowsProjects\UWP_15_exe\LaboriousLayout\LaboriousLayout\Unnamed_1"" (o destino ""CopyNativeExecutablesToOutput"" depende dele):"
"Message",Low,"Conclusão da criação do destino ""SetMainTargetPaths"" no projecto ""Unnamed_1""."
"Message",Low,"O destino ""GenerateFakeExe"" foi ignorado devido a uma condição falsa; (!Exists('@(InputILTarget)')) foi avaliado como (!Exists('C:\Users\fonse\Documents\GitHub\UniversalWindowsProjects\UWP_15_exe\LaboriousLayout\LaboriousLayout\obj\x86\Release\ilc\in\LaboriousLayout.exe'))."
"Message",Low,"O destino ""InjectCoreLibTypeForwards"" foi ignorado devido a uma condição falsa; ('$(UseSharedAssemblies)' != 'true') foi avaliado como ('true' != 'true')."
"Message",Low,"Destino ""InjectWindowsRuntimeTypeForwards"" no ficheiro ""C:\Program Files (x86)\MSBuild\Microsoft\.NetNative\x86\ilc\IlcInternals.targets"" do projecto ""C:\Users\fonse\Documents\GitHub\UniversalWindowsProjects\UWP_15_exe\LaboriousLayout\LaboriousLayout\Unnamed_1"" (o destino ""RunILTransforms"" depende dele):"
"Message",Low,"A utilizar a tarefa ""MakeDir"" da assemblagem ""Microsoft.Build.Tasks.v4.0, Version=4.0.0.0, Culture=neutral, PublicKeyToken=b03f5f7f11d50a3a""."
"Message",Low,"Tarefa ""MakeDir"""
"Message",Normal,"A criar o directório ""C:\Users\fonse\Documents\GitHub\UniversalWindowsProjects\UWP_15_exe\LaboriousLayout\LaboriousLayout\obj\x86\Release\ilc\intermediate\TransformedSRWR\""."
"Message",Low,"Conclusão de execução da tarefa ""MakeDir""."
"Message",Low,"A utilizar a tarefa ""ILTransformTask"" da assemblagem ""Microsoft.Build.ILTasks""."
"Message",Low,"Tarefa ""ILTransformTask"""
"Message",Normal,"Running 'InjectWindowsRuntimeTypeForwards' transform, heap at 7 MB."
"Message",Normal,"Running 'WriteAssemblies' transform, heap at 14 MB."
"Message",Normal,""
"Message",Normal,"Transform summary"
"Message",Normal,"    ms | heap delta | name"
"Message",Normal,"    85 |          7 | InjectWindowsRuntimeTypeForwards"
"Message",Normal,"    53 |          1 | WriteAssemblies"
"Message",Low,"Conclusão de execução da tarefa ""ILTransformTask""."
"Message",Low,"Conclusão da criação do destino ""InjectWindowsRuntimeTypeForwards"" no projecto ""Unnamed_1""."
"Message",Low,"O destino ""InjectCoreLibTypeForwards"" foi ignorado devido a uma condição falsa; ('$(UseSharedAssemblies)' != 'true') foi avaliado como ('true' != 'true')."
"Message",Low,"Destino ""PreResolveTransforms"" no ficheiro ""C:\Program Files (x86)\MSBuild\Microsoft\.NetNative\x86\ilc\IlcInternals.targets"" do projecto ""C:\Users\fonse\Documents\GitHub\UniversalWindowsProjects\UWP_15_exe\LaboriousLayout\LaboriousLayout\Unnamed_1"" (o destino ""RunILTransforms"" depende dele):"
"Message",Low,"A criar completamente o destino ""PreResolveTransforms""."
